"id","alt","date","InBurrow","x","y","grid.cell"
"tm2",91.38,2014-11-09 07:36:00,0,449365.653,7973966.908,2610
"tm2",85.25,2014-11-09 07:40:00,0,449431.265,7973970.621,2610
"tm2",92.55,2014-11-09 07:45:00,1,449469.1189,7973943.025,2611
"tm2",119.06,2014-11-09 20:32:00,0,449493.055,7973780.034,2743
"tm2",74.06,2014-11-09 20:48:00,0,449718.045,7973773.21,2745
"tm2",68.86,2014-11-09 20:58:00,0,449725.645,7973776.438,2745
"tm2",63.2,2014-11-09 21:03:00,0,449723.227,7973771.785,2745
"tm2",78.91,2014-11-09 21:08:00,0,449726.076,7973773.231,2745
"tm2",50.39,2014-11-09 21:12:00,0,449799.947,7973730.162,2746
"tm2",56.07,2014-11-09 21:17:00,0,449880.127,7973739.222,2747
"tm2",57.86,2014-11-09 21:22:00,0,449933.972,7973838.609,2681
"tm2",53.5,2014-11-09 21:27:00,0,449976.997,7973872.689,2682
"tm2",48.57,2014-11-09 21:32:00,0,450055.162,7973884.731,2683
"tm2",38.8,2014-11-09 21:41:00,0,450118.721,7973783.546,2749
"tm2",92.23,2014-11-09 22:02:00,0,450160.92,7973810.431,2750
"tm2",110.47,2014-11-09 22:09:00,0,450162.511,7973808.111,2750
"tm2",126.43,2014-11-09 22:14:00,0,450222.266,7973788.239,2750
"tm2",89.66,2014-11-09 22:19:00,0,450246.062,7973780.556,2751
"tm2",92.75999,2014-11-09 22:24:00,0,450274.725,7973770.451,2751
"tm2",85.56,2014-11-09 22:28:00,0,450287.173,7973778.56,2751
"tm2",95.45,2014-11-09 22:33:00,0,450329.564,7973772.031,2751
"tm2",94.65,2014-11-09 22:38:00,0,450371.372,7973786.522,2752
"tm2",94.73,2014-11-09 22:43:00,0,450381.496,7973794.404,2752
"tm2",92.13,2014-11-09 22:47:00,0,450396.305,7973829.405,2686
"tm2",94.55,2014-11-09 22:52:00,0,450463.682,7973804.241,2753
"tm2",123.09,2014-11-09 22:57:00,0,450526.582,7973794.113,2753
"tm2",94.97,2014-11-09 23:03:00,0,450504.394,7973793.171,2753
"tm2",84.11,2014-11-09 23:10:00,0,450489.524,7973781.737,2753
"tm2",53.18,2014-11-09 23:17:00,0,450514.874,7973827.166,2687
"tm2",114.41,2014-11-09 23:32:00,0,450574.641,7973761.154,2754
"tm2",100.88,2014-11-09 23:37:00,0,450633.88,7973777.903,2754
"tm2",90.24,2014-11-09 23:47:00,0,450671.289,7973818.162,2755
"tm2",51.24,2014-11-09 23:52:00,0,450669.945,7973848.033,2689
"tm2",121.51,2014-11-09 23:56:00,0,450703.158,7973794.124,2755
"tm2",108.77,2014-11-10 00:01:00,0,450726.919,7973799.938,2755
"tm2",92.56,2014-11-10 00:06:00,0,450730.91,7973809.353,2755
"tm2",70.9,2014-11-10 00:11:00,0,450724.45,7973815.09,2755
"tm2",90.97,2014-11-10 00:15:00,0,450731.35,7973802.494,2755
"tm2",78.54,2014-11-10 00:20:00,0,450700.639,7973828.749,2689
"tm2",131.51,2014-11-10 00:25:00,0,450704.256,7973819.021,2755
"tm2",105.29,2014-11-10 00:29:00,0,450660.778,7973796.339,2755
"tm2",97.43999,2014-11-10 00:34:00,0,450608.531,7973773.191,2754
"tm2",101.2,2014-11-10 00:39:00,0,450583.494,7973770.36,2754
"tm2",102.03,2014-11-10 00:44:00,0,450547.22,7973781.664,2754
"tm2",79.83,2014-11-10 00:54:00,1,450524.0806,7973792.689,2753
"tm2",108.43,2014-11-10 03:19:00,0,450518.963,7973798.298,2753
"tm2",104.7,2014-11-10 03:24:00,0,450521.4,7973795.981,2753
"tm2",155.5,2014-11-10 03:29:00,0,450507.779,7973750.803,2753
"tm2",133.86,2014-11-10 03:34:00,1,450522.1774,7973797.017,2753
"tm2",59.35,2014-11-10 10:30:00,0,450517.645,7973817.879,2753
"tm2",38.45,2014-11-10 10:35:00,1,450527.0062,7973795.419,2753
"tm2",94.92,2014-11-10 18:53:00,0,450616.95,7973786.49,2754
"tm2",102.66,2014-11-10 18:58:00,0,450674.124,7973784.313,2755
"tm2",88.05,2014-11-10 19:03:00,0,450664.872,7973807.081,2755
"tm2",89.00999,2014-11-10 19:07:00,0,450684.217,7973804.033,2755
"tm2",88.53,2014-11-10 19:13:00,0,450715.995,7973815.289,2755
"tm2",90.37,2014-11-10 19:17:00,0,450734.192,7973807.038,2755
"tm2",88.63,2014-11-10 19:22:00,0,450733.759,7973811.13,2755
"tm2",94.6,2014-11-10 19:27:00,0,450744.646,7973809.83,2756
"tm2",88.67,2014-11-10 19:32:00,0,450817.267,7973800.169,2756
"tm2",99.24,2014-11-10 19:36:00,0,450922.388,7973808.182,2757
"tm2",89.23,2014-11-10 19:41:00,0,450990.561,7973802.049,2758
"tm2",90.99,2014-11-10 19:46:00,0,451024,7973783.546,2758
"tm2",91,2014-11-10 19:51:00,0,451055.575,7973750.323,2759
"tm2",84.1,2014-11-10 19:55:00,0,451067.251,7973771.043,2759
"tm2",99.52,2014-11-10 20:00:00,0,451125.351,7973736.78,2759
"tm2",108.69,2014-11-10 20:05:00,0,451123.704,7973761.449,2759
"tm2",90.68,2014-11-10 20:10:00,0,451151.615,7973714.275,2826
"tm2",89.53,2014-11-10 20:14:00,0,451141.82,7973742.907,2760
"tm2",91.73,2014-11-10 20:19:00,0,451173.34,7973730.927,2760
"tm2",96.17,2014-11-10 20:24:00,0,451213.684,7973697.947,2826
"tm2",87.2,2014-11-10 20:29:00,0,451219.369,7973706.37,2826
"tm2",123.98,2014-11-10 20:34:00,0,451226.164,7973735.376,2760
"tm2",90.48,2014-11-10 20:38:00,0,451251.158,7973713.2,2827
"tm2",85.39,2014-11-10 20:43:00,0,451228.634,7973719.671,2826
"tm2",81.08,2014-11-10 20:48:00,0,451305.507,7973741.662,2761
"tm2",74.47,2014-11-10 20:53:00,0,451355.909,7973742.564,2762
"tm2",72.48,2014-11-10 20:58:00,0,451365.232,7973732.962,2762
"tm2",85.75,2014-11-10 21:02:00,0,451439.61,7973780.173,2763
"tm2",84.91,2014-11-10 21:07:00,0,451537.883,7973822.465,2698
"tm2",80.58,2014-11-10 21:12:00,0,451549.128,7973846.945,2698
"tm2",77.23,2014-11-10 21:17:00,0,451618.467,7973839.485,2698
"tm2",77.92,2014-11-10 21:22:00,0,451686.295,7973802.148,2765
"tm2",100.06,2014-11-10 21:26:00,1,451705.027,7973783.476,2765
"tm2",100.99,2014-11-10 23:06:00,0,451719.819,7973791.831,2765
"tm2",89.25999,2014-11-10 23:11:00,0,451723.024,7973777.677,2765
"tm2",103.82,2014-11-10 23:16:00,0,451730.333,7973770.835,2765
"tm2",92.82,2014-11-10 23:21:00,0,451726.654,7973762.97,2765
"tm2",40.89,2014-11-10 23:26:00,0,451718.661,7973747.792,2765
"tm2",65.72,2014-11-10 23:35:00,0,451722.675,7973748.577,2765
"tm2",64.07,2014-11-10 23:40:00,0,451713.812,7973743.354,2765
"tm2",82.25,2014-11-10 23:45:00,0,451721.105,7973742.487,2765
"tm2",105.02,2014-11-10 23:50:00,0,451751.283,7973759.823,2766
"tm2",72.7,2014-11-10 23:55:00,0,451744.464,7973740.222,2766
"tm2",103.6,2014-11-11 00:06:00,0,451773.061,7973755.895,2766
"tm2",103.31,2014-11-11 00:14:00,0,451790.436,7973737.793,2766
"tm2",103.27,2014-11-11 00:23:00,0,451839.476,7973818.796,2767
"tm2",103.38,2014-11-11 00:31:00,0,451894.493,7973876.025,2701
"tm2",103.42,2014-11-11 00:41:00,0,452009.696,7973909.727,2702
"tm2",79,2014-11-11 00:54:00,0,452033.849,7973928.154,2636
"tm2",97.74,2014-11-11 01:09:00,0,452042.249,7973949.419,2637
"tm2",72.74,2014-11-11 01:24:00,0,452079.743,7973957.146,2637
"tm2",111.31,2014-11-11 01:29:00,0,452115.884,7973999.059,2637
"tm2",122.15,2014-11-11 01:38:00,0,452122.684,7974026.737,2571
"tm2",89.32999,2014-11-11 01:43:00,0,452114.592,7974051.39,2571
"tm2",89.18999,2014-11-11 01:51:00,0,452120.537,7974082.607,2571
"tm2",104.53,2014-11-11 02:01:00,0,452118.05,7974105.393,2571
"tm2",115.46,2014-11-11 02:09:00,0,452098.338,7974086.092,2571
"tm2",83.09,2014-11-11 02:14:00,0,452080.24,7974097.443,2571
"tm2",99.22,2014-11-11 02:19:00,0,452087.042,7974081.638,2571
"tm2",112.07,2014-11-11 02:24:00,0,452084.257,7974096.679,2571
"tm2",61.66,2014-11-11 02:28:00,0,452062.51,7974088.216,2571
"tm2",114.1,2014-11-11 02:33:00,0,452078.592,7974080.179,2571
"tm2",83.62,2014-11-11 02:38:00,0,452068.97,7974082.257,2571
"tm2",114.77,2014-11-11 02:43:00,0,452084.309,7974075.767,2571
"tm2",51.58,2014-11-11 02:48:00,0,452064.985,7974070.187,2571
"tm2",49.91,2014-11-11 02:53:00,0,452080.383,7974039.909,2571
"tm2",86.63,2014-11-11 02:57:00,0,452097.764,7974019.483,2637
"tm2",111.2,2014-11-11 03:02:00,0,452100.241,7974000.68,2637
"tm2",101.91,2014-11-11 03:07:00,0,452010.932,7973922.344,2636
